poi_name,poi_rating,poi_price,poi_category,poi_address,poi_latitude,poi_longitude,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Ülver Teyze Rumeli Börekleri,8.6,Unknown,Restaurant,"Inonu Cad No: 644, İzmir",38.395705,27.074686,foursquare,Fahrettin Altay,372.1622621920118,Fahrettin Altay,38.39675,27.070629,12
Peynir Evi Kahvaltı ve Ev Yemekleri,5.0,Unknown,"['Breakfast & Brunch', 'Homemade Food']","Mithatpaşa Cad. No:145-B, Balçova, 35340 İzmir, Turkey",38.396802,27.0640051,yelp,Fahrettin Altay,577.2802883539478,Fahrettin Altay,38.39675,27.070629,12
İpek Yufka,4.0,₺,['Delis'],"Gürsel Aksel Bulv., No: 25/B, Tansaş Karşısı, İzmir, Turkey",38.3958015,27.0747299,yelp,Fahrettin Altay,372.6203277768818,Fahrettin Altay,38.39675,27.070629,12
Battalbey Çiğköfte,3.5,₺,['Turkish'],"Üçkuyular Mah. İnönü Cad., No: 658 D: 2, 35290 İzmir, Turkey",38.395968,27.073705,yelp,Fahrettin Altay,281.81537381886676,Fahrettin Altay,38.39675,27.070629,12
Meryemce Mantı Evi,4.0,Unknown,['Turkish'],"Üçkuyular Mah. İnönü Cad., No: 861/B, 35260 İzmir, Turkey",38.396465,27.07175,yelp,Fahrettin Altay,102.7033014913591,Fahrettin Altay,38.39675,27.070629,12
Hamsiköy Akçaabat Köftecisi,4.0,Unknown,['Turkish'],"Mithat Paşa Cad., No: 305, 35320 İzmir, Turkey",38.396793,27.064135,yelp,Fahrettin Altay,565.9512009905915,Fahrettin Altay,38.39675,27.070629,12
Metehan Şarküteri,4.0,Unknown,['Delis'],"Mehmetçik Bulv. No: 39/ B, 35340 İzmir, Turkey",38.3950386,27.0698509,yelp,Fahrettin Altay,202.019720597377,Fahrettin Altay,38.39675,27.070629,12
Little Caesars Pizza,4.0,Unknown,['Pizza'],"Üçkuyular Mah., Fahrettin Altay Meydanı No: 2 / A, 35290 İzmir, Turkey",38.396559,27.071455,yelp,Fahrettin Altay,75.0510757637229,Fahrettin Altay,38.39675,27.070629,12
Yalı Döner,3.0,Unknown,['Turkish'],"Üçkuyular Mah., Gürsel Aksel Bulv. .Göztepe, 35350 İzmir, Turkey",38.395392,27.074858,yelp,Fahrettin Altay,398.2824480884135,Fahrettin Altay,38.39675,27.070629,12
Caf'emre,3.0,Unknown,"['Cafes', 'Coffee & Tea']","Gürsel Aksel Bulv. Göztepe, 35350 İzmir, Turkey",38.395392,27.074858,yelp,Fahrettin Altay,398.2824480884135,Fahrettin Altay,38.39675,27.070629,12
