restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance
Mey-Zade,38.406218,26.997384,7.8,,Meyhane,,"Gürler Cad No:46, Narlıdere",106.0
'Dut Restaurant Cafe Bar,38.406242,26.9982,8.3,2.0,Café,(0232) 238 79 47,"Gürler Cad No: 54 Sahilevleri, 35320 İzmir",178.0
Taka Balık Evi,38.406118,26.99735,7.8,2.0,Mediterranean,(0232) 239 24 17,"Gürler Cad, No: 50, 35320 Narlıdere",157.0
By Özcan Köşem Balık Evi,38.405905,26.996977,6.4,,Dining and Drinking,,"Güler Caddesi, İzmir",70.0
Sir Winston,38.406337,26.998561,7.4,2.0,Café,0533 034 15 13,"Gürler Cad No:56, Narlıdere",200.0
Mavisu Balık Evi,38.406987,26.999503,8.6,3.0,Seafood,(0232) 238 27 77,"Gürler Cad, No:70, 35000 İzmir",309.0
Rıhtım Restaurant,38.406012,26.997164,6.2,3.0,Seafood,,,93.0
Poyraz Balık Evi,38.406835,26.999092,7.5,3.0,Seafood,0536 940 81 48,"Gurler Cad (Sahilevleri), Narlıdere",242.0
Eftelya Balik,38.407048,26.999464,7.6,3.0,Seafood,,"Gurler Cad (Sahilevleri), İzmir",288.0
İnciraltı Engelliler Kafeteryası,38.407269,27.066345,7.9,2.0,Café,(0232) 259 89 22,İzmir,396.0
Sipari Restaurant,38.406202,27.06735,8.2,3.0,Seafood,(0232) 259 59 58,"Haydar Aliyev Bul Daire: 4, Levent Marina Tesisleri İnciraltı, Balçova, İzmir, 35140 İzmir",504.0
Teras By Tuval,38.406258,27.0674,7.9,3.0,Mediterranean,0532 179 55 56,"Levent Marina, İzmir",497.0
Nefes Restoran-Kafe-Bar,38.40592,27.067684,7.5,2.0,Café,,"Levent Marina, İzmir",516.0
Tuzu Biberi,38.406334,27.067491,7.3,2.0,Breakfast,,"İzmir Marina (Haydar Aliyev Bulvarı), İzmir",494.0
Sahil Evleri Gülhane Restaurant,38.409754,27.062512,,1.0,Fish and Chips Shop,,,341.0
Spari Balık Restourant,38.405465,27.066028,,3.0,Seafood,,,389.0
Boğaziçi Restaurant - Üçkuyular,38.405394,27.070807,8.9,3.0,Diner,(0232) 278 88 88,"Mustafa Kemal Sahil Bul Vapur İskelesi Üstü Üçkuyular, İzmir",805.0
Damak Çatlatan Lezzetler,38.405488,27.068388,6.7,2.0,Turkish,,"Levent Marina Haydar Aliyev Bul No:4, İzmir",600.0
Şerefe,38.406611,27.067346,,,Meyhane,,Ückuyular Marina,480.0
Eatery,38.39952,27.068038,8.5,,Restaurant,,"İstinye Park, Balçova",610.0
Masa Restaurant,38.399388,27.067648,8.5,2.0,Café,(0232) 683 04 48,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635.0
Godiva,38.399388,27.067648,8.4,2.0,Café,,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",635.0
Söğüşçü Mira,38.399244,27.079378,8.0,,Söğüş Place,(0232) 285 55 58,"Mithatpaşa Cad No:1073 (Mithatpaşa), 35280 Konak",197.0
Coffeemania,38.399379,27.080053,7.6,2.0,Café,,"Mithatpaşa, 35330 İzmir",210.0
Enginar Restaurant & Cafe,38.399105,27.080645,8.6,,Turkish Home Cooking,(0232) 404 55 55,"Mithatpaşa Cad No:1164, İzmir",279.0
Café Violin,38.398048,27.077769,8.2,2.0,Café,(0232) 224 14 14,"18 Sok No: 8 A/B, İzmir",280.0
Gel Tat,38.39868,27.076967,7.7,2.0,Café,,İzmir,247.0
Caffe D'Amore,38.398361,27.077488,7.9,2.0,Café,,İzmir,262.0
Bi Mekan Coffee & Bakery,38.398601,27.078349,7.5,2.0,Café,(0232) 224 40 20,"Mithatpaşa Cad No:1087 (Mithatpaşa), 35290 Konak",239.0
Söğüşçü Aco Güzelyalı,38.398993,27.080547,8.1,1.0,Fast Food,(0232) 247 28 33,"Mithat Paşa Cad, No: 1045 / Daire: Güzelyalı (Mithatpaşa Cad.), Konak",299.0
Hatay Unlu Mamuller Güzelyalı Şubesi,38.39891,27.081863,7.9,1.0,Bakery,,,382.0
Göztepe Ekmek Fırını,38.398564,27.08267,8.4,1.0,Bakery,,İzmir,475.0
La Folie Güzelyalı,38.398179,27.08409,8.1,2.0,Restaurant,(0232) 224 08 31,"Mithatpaşa Cad No:1096/A Konak (Mithatpaşa Cd.), 35290 İzmir",116.0
Lezzet Lokantası,38.397715,27.08396,8.4,,Dining and Drinking,(0232) 247 03 45,"40 Sok No: 1 / Cad, 35290 İzmir",154.0
Ceyhan Lokantası,38.397715,27.08396,8.1,,Turkish,(0232) 246 24 77,"40 Sok, No: 3 / B Güzelyalı, 35290 Konak",167.0
Park Lokantası,38.396848,27.081806,8.8,,Turkish Home Cooking,(0232) 224 83 14,"30 Sok No: 1 / E, Güzelyalı, İzmir",286.0
The Irish Pub,38.39748,27.085371,7.7,,Irish,,"Mustafa Kemal Sahil Bulvarı, 35290 İzmir",237.0
Sanita,38.397783,27.085687,7.5,2.0,Café,(0232) 224 48 48,"Mustafa Kemal Sahil Bul No:679, Konak",221.0
Charleston Cake & More,38.402033,27.09499,9.1,2.0,Café,0530 445 39 92,"Mithatpaşa Cad No: 850/1 Göztepe - Konak, İzmir",178.0
Enfes Seyler Cafe & Bistro,38.40229,27.095587,8.8,2.0,Café,(0232) 453 17 97,"Mithatpasa Cad No: 739/C Konak (Mithatpaşa Caddesi No:739/C), 35290 İzmir",215.0
Tuzu Biberi Mangal,38.400663,27.092393,7.6,2.0,Turkish,(0232) 224 95 00,"Mithat Paşa Cad No: 888/A, Güzelyalı (Mustafa Kemal Sahil Bulvarı), İzmir",161.0
Cafe Villa Fırat,38.40087,27.094707,8.3,2.0,Café,(0232) 232 89 09,İzmir,218.0
Pizza Venedik Express,38.402508,27.095872,8.1,2.0,Pizza,(0232) 243 17 17,"Mithat Paşa Cad, No: 836 / A, Güzelyalı, 35290 İzmir",231.0
Retro Cafe 29 May,38.402681,27.095932,8.1,2.0,Café,0555 852 50 05,"Mithatpaşa Cad 882/1-a Küçükyalı (Mithatpaşa), İzmir",265.0
Göztepe Kokoreççisi,38.399584,27.091721,8.0,,Kokoreç Restaurant,(0232) 247 33 00,"Mithatpaşa Cad No:918, İzmir",296.0
Gurme Peynircim,38.402978,27.096842,8.1,2.0,Deli,,"Mithatpasa Cad No:824 /A Sadikbey Goztepe, İzmir",338.0
Muzom Restoran,38.399042,27.090965,8.5,,BBQ,(0232) 248 38 38,"Mithatpasa Cad No:956 Sahil Tarafi Goztepe Konak, 35290 İzmir",371.0
Burger Attack,38.399036,27.09009,8.6,2.0,Burgers,(0232) 246 03 02,"Mithatpaşa Cad No: 974/A, 35290 Konak",431.0
Orkinos Restaurant,38.405404,27.098609,8.3,3.0,Seafood,(0232) 244 46 06,İzmir,88.0
No Ondört Coffee,38.403761,27.099385,8.5,2.0,Café,,"Ayşe Mayda Sok No:14, Konak",274.0
Petunya Cafe,38.404444,27.100676,8.0,2.0,Café,0530 766 05 20,"129 Sok No: 12/A (Mithatpaşa Caddesi), 35000 Konak",256.0
Bulut Fırın,38.403913,27.102455,9.1,1.0,Bakery,(0232) 243 18 10,"137 Sok No: 36, Konak",408.0
Küçükyalı Gevrek Fırını,38.406886,27.103158,8.8,1.0,Bakery,(0232) 232 12 82,"Mithat Paşa Cad No:569 Küçükyalı, İzmir",409.0
Café La Dose,38.407367,27.103952,9.0,2.0,Café,,İzmir,455.0
Pizza Locale - Mustafa Kemal Sahil,38.407335,27.103751,8.8,2.0,Pizza,(0232) 232 10 00,"Mustafa Kemal Sahil BLV. No:351, 35280 İzmir",451.0
Tulumbalı Meyhane,38.40924,27.110555,7.9,,Meyhane,,"Mithatpaşa Cad No:540 Küçükyalı, İzmir",138.0
Tulumbalı Meyhane Cümbüşşş,38.409503,27.113063,8.1,,Meyhane,,"Mithatpaşa Cad No:488/A, İzmir",349.0
Aran Pide Salonu,38.407266,27.105532,8.5,2.0,Pide,(0232) 244 36 75,"Mithat Paşa Cad No:517/B Küçükyalı (Mithatpasa Caddesi), 35280 Konak",379.0
İlk Adresim Restaurant,38.409475,27.113501,7.7,,Meyhane,0507 772 35 00,Konak,384.0
Çaykolik,38.409227,27.111336,,2.0,Breakfast,,"Mitatpaşa, 35000 İzmir",205.0
Çay Kolik,38.409486,27.111472,,2.0,Café,,İzmir,221.0
Sembol Pide & Kebap,38.411649,27.121998,7.5,,Pide,(0232) 482 03 15,"Mithatpaşa Cad No:61/A Karataş Göztepe, İzmir",148.0
Meşhur Acarlar Unlu Mamülleri Gıda,38.410146,27.12058,7.7,1.0,Bakery,(0232) 483 97 99,"Mithatpaşa Cad, No:133 Karataş, 35260 Konak",185.0
Karataş Ekmek Ve Unlu Mamülleri,38.409855,27.119582,7.9,1.0,Bakery,(0232) 446 76 89,"Mithat Paşa Cad No: 165/A, Konak Merkez, İzmir",214.0
Eye Opia,38.409433,27.120624,8.0,2.0,Café,0539 214 76 07,"Karataş 305 Sok No:37/A Barbaros Sok (Mithatpaşa Cad.), İzmir",253.0
Asansir Cafe & Souvenir,38.40928,27.117499,8.3,2.0,Café,0555 560 27 92,"Mithatpaşa Cad Dario Moreno Sok No: 1 Karataş, İzmir",344.0
Frida Cafe,38.409296,27.117236,8.4,2.0,Café,0545 342 09 75,"Turgut Reis, Dario Moreno Sok No:1 (Şht. Nihat Bey Cad.), 35000 Konak",350.0
Taş Ev,38.409112,27.117351,8.2,2.0,Café,,"Dario Moreno Sok, Konak",370.0
Asansör Teras Cafe & Bar,38.408619,27.117471,8.2,2.0,Café,(0232) 293 47 77,"Şehit Nihat Bey Cad (Karataş), 35280 Konak",408.0
Cevatın Yeri Sahne Cafe,38.414801,27.12348,7.8,2.0,Café,,İzmir,471.0
Ergök Döner,38.405558,27.121261,9.0,,Doner,(0232) 255 39 20,"İnönü Cad, No: 160 / B Hatay, Karabağlar",633.0
Osmanlı,38.418724,27.125827,7.5,2.0,Café,,"Mustafa Kemal Sahil Bul, İzmir",43.0
Kaffa Keyf,38.418746,27.125476,7.3,2.0,Café,(0232) 445 50 45,"Konak Vapur İskelesi Üstü, Konak",93.0
Rıhtım Cafe,38.418718,27.125915,6.4,2.0,Café,,"Konak Vapur İskelesi Yanı, Konak",32.0
Alsancak Unlu Mamuller,38.41876,27.126046,6.0,1.0,Bakery,,"Konak Vapur İskelesi, Konak",34.0
Çaykovski,38.417869,27.129058,8.4,1.0,Café,(0232) 483 01 34,"31. Sokak, Konak",262.0
Cimbomlu Meşhur Söğüşçü,38.419221,27.131919,8.7,1.0,Fast Food,(0232) 445 64 82,"855 Sok, No: 13 / A, 35250 Konak",454.0
Konak Subay Orduevi Kahve'Nin Âlâsı,38.415298,27.124938,7.4,2.0,Café,,Konak,396.0
Tarihi Kemeraltı Börekçisi,38.418298,27.131823,8.2,1.0,Bakery,,Konak,471.0
Komposto Turk Mutfagi,38.420914,27.132207,9.1,1.0,Turkish Home Cooking,(0232) 483 21 83,"861 Sok No: 46 Kemeralti, 35250 Konak",548.0
L’Aura Kitchen & Bar,38.423406,27.127362,8.2,3.0,Italian,0530 391 35 35,"Ataturk Cad No:19 Konak Pier Avm (Atatürk Caddesi No:19/S), 35210 İzmir",523.0
Boyoz Cafe,38.41349,27.126529,7.2,2.0,Café,,"Konak, İzmir",350.0
Gümüş Salon,38.41536,27.124899,6.1,2.0,Breakfast,,,263.0
Sakiz Restaurant,38.428781,27.136552,8.4,3.0,Seafood,(0232) 464 11 03,"Ataturk Cad No: 158/A Konak, 35220 Konak",90.0
Gümüş Balık Restaurant,38.426273,27.132392,8.4,3.0,Seafood,(0232) 483 37 47,"Kazım Dirik Cad, No: 1 / A, Pasaport (1.Kordon), İzmir",141.0
Çınaraltı Meyhanesi,38.42563,27.134143,9.2,2.0,Turkish,(0232) 425 47 93,"Vali Kazım Dirik Cad No:22 A, İzmir",240.0
Hisar Balık Pişiricisi,38.425854,27.13434,8.7,3.0,Seafood,(0232) 489 25 25,"Vali Kazım Dirik Cad, No: 18 / A, 35210 Konak",241.0
Scappi,38.427954,27.135637,8.8,3.0,American,0530 609 13 19,"Gaziosmanpasa Bul No:1, 35210 İzmir",261.0
Cafe Swiss,38.427898,27.135588,8.9,2.0,Café,(0232) 414 00 00,"Gazi Osman Paşa Bul Swissotel Grand Efes İzmir No: 1, Pasaport, Konak, İzmir, 35110 İzmir",288.0
Skyfire Restaurant & Bar,38.426652,27.135694,8.5,,Modern European,(0232) 497 77 77,"Gazi Osman Paşa BLV. No:16 (G.O.P  Bulvari), İzmir",273.0
Midpoint Alsancak,38.428502,27.136306,8.7,2.0,Dining and Drinking,(0232) 402 00 25,"Şehit Nevres Bul Swiss Hotel No: 2/A, Alsancak, İzmir",319.0
Kordonboyubalik.,38.429904,27.134669,8.4,3.0,Seafood,,"Atatürk Cad No:174/B Alsancak Konak, 35220 İzmir",330.0
Fish & Steak House,38.42996,27.134719,8.4,3.0,Seafood,(0232) 463 10 20,"Atatürk Cad, No: 174 Daire: 1, Alsancak, 35220 Konak",341.0
Zaferin Yeri Restaurant,38.430625,27.135398,9.4,3.0,Seafood,0533 199 26 80,"Kultur, Ataturk Cad No: 184 / B, 35220 İzmir",117.0
Körfez Ali Restorant İşletmeciliği,38.430625,27.135398,8.4,3.0,Seafood,(0232) 421 01 90,"Atatürk Cad No:182, A Alsancak, Konak",97.0
Balıkçı Hasan,38.43096,27.135694,8.6,3.0,Seafood,(0232) 464 13 54,"Atatürk Cad, No: 186, Kordon (1.Kordon), 35100 Konak",128.0
Deniz Restaurant,38.43129,27.136077,8.7,3.0,Diner,(0232) 464 44 99,"Atatürk Cad No: 188, 35220 Konak",183.0
Lokanta Mahalle,38.429904,27.136523,8.8,,Turkish Home Cooking,(0232) 502 26 46,"Mustafa Münir Birsel Sok No:8/A, Konak",198.0
Teras,38.43167,27.136598,8.5,,Dining and Drinking,,"Atatürk Cad No:190 Alsancak, İzmir",253.0
Birinci Kordon Balık Restoran,38.433692,27.138197,8.6,3.0,Seafood,(0232) 422 40 01,"Atatürk Cad No: 196/A, 35220 İzmir",24.0
Yemek Salonu - Kordon Orduevi,38.432793,27.137496,8.8,2.0,Breakfast,,,134.0
İdil Mantı Evi,38.433285,27.138115,7.6,,Manti,(0232) 422 25 23,"No 1/B Doktor Mustafa Enver Bey Cad (Mustafa Enver Bey Cad), İzmir",91.0
Beş Kardeşler Büfe,38.439268,27.144229,8.7,2.0,Sandwich Spot,(0232) 421 51 59,"1382 Sok No:4/C, 35220 Konak",197.0
Pier’S,38.43253,27.139767,8.7,,Restaurant,,"Dr. Mustafa Enver Bey Cad, İzmir",209.0
Ristorante Pizzeria Venedik,38.431966,27.138435,8.8,3.0,Pizza,(0232) 422 18 26,"1382 Sok, No: 10 / A, Alsancak, 35110 İzmir",216.0
Tepeleme Söğüş,38.432016,27.137645,8.3,2.0,Turkish,,"Cumhuriyet Bul No:163, İzmir",210.0
Favino Alsancak,38.432765,27.140715,9.0,,Theme Restaurant,(0232) 421 93 90,"Dr. Mustafa Enver Bey Cad No:11/A, 35220 İzmir",259.0
Murano’S,38.432156,27.139158,8.5,3.0,Italian,,İzmir,244.0
Ayvalık Balıkçısı Kerem,38.432428,27.136793,7.9,3.0,Seafood,(0232) 404 35 10,"Atatürk Cad No:192/B (Atatürk Caddesi), İzmir",213.0
Yengeç Restaurant,38.438078,27.141603,8.8,3.0,Seafood,(0232) 464 57 57,"Ataturk Cad No: 314/A 1 Kordon Alsancak, Alsancak Vapur Iskelesi Karsisi (1.Kordon), İzmir",25.0
Moresi Eskiköy,38.439631,27.142232,8.6,2.0,Breakfast,(0232) 463 26 46,"Atatürk Cad No:344/1 Kordon, İzmir",145.0
Giritli Kâmuran,38.439804,27.142292,8.9,2.0,Café,(0232) 369 20 01,"Atatürk Cad No: 354/A Konak (alsancak), 35100 İzmir",169.0
Ateş Ocakbaşı,38.436994,27.141944,8.8,2.0,Turkish,(0232) 422 10 80,"Can Yucel Sok No: 3/A Konak, 35220 İzmir",184.0
Iskele Meyhanesi,38.439514,27.142221,7.5,,Bar,0553 215 60 10,"Ataturk Cad No: 340/A Alsancak - Kordon, İzmir",122.0
Teyzem Börek,38.438357,27.143703,8.8,1.0,Bakery,(0232) 290 80 40,"Kıbrıs Şehitleri Cad No:98/A, Konak",198.0
Alsancak Dostlar Fırını - Boyoz,38.439055,27.143856,9.3,1.0,Bakery,(0232) 421 92 02,"Kıbrıs Şehitleri Cad No: 120 Alsancak, 35210 İzmir",222.0
"Meşhur Tavacı Recep Usta, Alsancak",38.440665,27.142681,8.8,3.0,Pide,(0232) 463 87 97,"Atatürk Cad, No: 364, Alsancak, Konak",253.0
Alsancak Tostçu,38.439995,27.142774,7.7,2.0,Fast Food,(0232) 421 75 48,"1479 Sok No:3/C, 35220 İzmir",207.0
Münire,38.437429,27.144368,9.2,1.0,Café,0535 259 68 46,"1484 Sok No:4, Alsancak (Kıbrıs Şehitleri Cad. Garanti Bankası Sokağı), 35220 İzmir",283.0
Haşmetli Meyhane,38.441972,27.143463,8.7,,Meyhane,(0232) 339 41 41,"Ataturk Cad Kordon, No:376\U002Fa (Atatürk Caddesi), İzmir",17.0
Big Baker,38.441532,27.144033,8.7,3.0,American,,Konak,98.0
Bet10 Coffee&Bistro,38.441469,27.14302,8.4,1.0,Dining and Drinking,,"Atatürk Cad 1 Kordon No:370/B Alsancak (Kordon), İzmir",89.0
Tek Tek Meyhanesi,38.441754,27.143178,7.5,,Meyhane,,"Atatürk Cad No: 372 Kordon, 35220 İzmir",61.0
Fayton Bistro,38.441128,27.142812,8.1,2.0,Café,(0232) 464 33 34,"Alsancak Kordon 366/2A, Alsancak (Kültür cad), 35220 Konak",128.0
Cızz Bızz Balık Evi,38.440044,27.14408,8.6,3.0,Seafood,(0232) 465 00 78,"Kibris Sehitleri Cad No: 171/B Alsancak, İzmir",237.0
Yalı Çapkını (Yalıçapkını),38.440083,27.143466,7.7,,Meyhane,0545 828 94 11,"1478 Sok No:5/ A, İzmir",221.0
Pirpirim Ocakbaşı Restaurant,38.440569,27.146027,8.6,1.0,BBQ,(0232) 463 11 24,"1473 Sok, No: 5 / A, Alsancak, Konak",292.0
O'Lahmacun,38.439686,27.146916,8.8,2.0,Turkish,(0232) 421 11 99,"1471 Sok No:34, Konak",101.0
Alsancak Dostlar Fırını - Boyozcu Hakan,38.44096,27.146372,8.9,1.0,Bakery,(0232) 421 91 02,"1475 Sok No: 1/A Alsancak, 35220 İzmir",152.0
Sevince Lokantası Ve Meyhanesi,38.439659,27.144574,9.2,,Meyhane,(0232) 421 35 70,"1471 Sok No:20/A, Konak",274.0
Zeynel Ergin Gevrek Fırını,38.438318,27.145245,9.5,1.0,Bakery,(0232) 403 40 04,"1466 Sok No: 2, 35220 Konak",287.0
Alsancak Kebapçısı,38.439659,27.144574,7.8,2.0,Turkish,,"1456 Sok, İzmir",270.0
Kulüp Ali Restoran,38.439095,27.145435,8.1,3.0,Seafood,(0232) 421 40 48,"1469 Sok, No: 35, Alsancak (Kıbrısşehitleri Cd), Konak",338.0
Analytichef Pastry & Coffee,38.44735,27.174069,8.4,2.0,Café,(0232) 502 75 80,"Ege Perla 2 Kat (Ozan Abay caddesi), 35170 İzmir",375.0
Konak Orduevi,38.442823,27.171122,,2.0,Café,,,264.0
Meles Deltası Piknik Alanı,38.448618,27.170565,6.4,,Food Court,,İzmir,382.0
Çınarlı Fırını,38.439997,27.172503,7.9,1.0,Bakery,,"Anadolu Cad No:5, İzmir",587.0
Cafe Del VRP,38.450551,27.170788,7.4,2.0,Indian,,,604.0
Garden & Grill By Hilton,38.450282,27.171293,7.0,2.0,BBQ,,,553.0
Zeytin Restaurant,38.447912,27.17844,8.4,,Turkish Home Cooking,,,734.0
Panino Pizza,38.448019,27.173467,,2.0,Pizza,,İzmir,409.0
Kürkçü Dükkanı,38.439105,27.172554,7.1,,Meyhane,,"1574Sokak No/5 Çınarlı Konak, İzmir",693.0
Alaçatı Kafası,38.448473,27.179066,7.6,,Meyhane,,"Mistral, İzmir",810.0
Varyant Kokoreç,38.471241,27.208523,7.9,,Kokoreç Restaurant,,"Atatürk Mah (İstiklal Caddesi), 35000 Bornova",419.0
Bornovalılar Kasabı,38.464483,27.209256,8.5,4.0,Steakhouse,,555 Sok,485.0
Gandi'Nin Yeri,38.465187,27.208394,8.7,2.0,Bar,(0232) 374 40 29,"Yüzbaşı İbrahim Hakkı Cad No:127/A, İzmir",521.0
Meyhane,38.46525,27.207428,8.2,2.0,Meyhane,(0232) 373 98 72,"Yüzbaşı İbrahim Hakkı Cad No:123/B, İzmir",501.0
Biz Bize,38.464819,27.207697,8.0,,Restaurant,0554 980 74 01,"Aşık Veysel Rekreasyon Alanı Yanı (Gediz Caddesi), Bornova",514.0
Bade Fırın Cafe,38.464053,27.208597,8.2,2.0,Café,,"Gediz Cad No:36 Bornova (Gediz Caddesi), İzmir",565.0
Samsun Pide Evi,38.46334,27.213255,8.5,,Pide,(0232) 374 44 00,"Mustafa Kemal Cad, 159 Sok, No: 33 / A, Kazımdirik (Mustafa Kemal cad), Bornova",585.0
Baba Meyhane,38.464053,27.208597,8.0,,Meyhane,0532 207 17 33,Bornova,556.0
Domino's Pizza,38.4718,27.20923,6.8,2.0,Pizza,(0232) 346 08 08,"513 Sok No: 78/A, 35030 Bornova",426.0
Bahrimu Bodrum Balıkçısı,38.465619,27.206271,7.8,1.0,Seafood,(0232) 339 71 00,"Yüzbaşı İbrahim Hakkı Cad No:155/C (Yüzbaşı İbrahim Hakkı caddesi no 193/A), 35100 Bornova",568.0
Bayraklı İskele Cafe,38.463939,27.161916,7.6,2.0,Café,,"Altınyol Caddesi, İzmir",81.0
Cafe Enfes,38.462916,27.165664,7.9,2.0,Café,,Bayraklı,254.0
Sanal Kumda Kahve & Waffle,38.463541,27.166031,7.9,2.0,Café,,"1915 Sok No:6/A (Sevgi Yolu), İzmir",273.0
Mevlana Pide & Döner,38.464027,27.165811,8.1,2.0,Pide,(0232) 371 94 20,"Ord. Prof. Ekrem Akurgal Cad No:49/A Bayrakli (Bayraklı Sevgi Yolu), 35530 İzmir",286.0
Meyhane Nevizade,38.462715,27.164188,6.9,2.0,Meyhane,0505 470 62 04,"1606/1 Sok No:8, Bayraklı",176.0
Kula Pide Restaurant,38.462697,27.166306,8.1,,Pide,0532 494 68 25,Bayraklı,315.0
Köfteci İsmet Usta,38.463133,27.166876,7.9,,Kofte,(0232) 371 96 69,"1916 Sok (Bayrakli sevgi yolu), 35530 Bayraklı",301.0
Bizim Döner Murat Usta,38.464429,27.165981,7.8,2.0,Turkish,,Bayraklı,315.0
Mert'in Yeri & İsmail Usta,38.463496,27.166733,7.9,4.0,Steakhouse,(0232) 345 89 99,"1916 Sok No:4A Bayraklı (Sevgi Yolu Bayraklı), İzmir",361.0
Nihat'ın Yeri,38.464258,27.161285,,1.0,Sandwich Spot,,,146.0
Havuz Cafe Restoran-Bayraklı A.Ş.,38.466638,27.159121,7.1,2.0,Café,,"Altınyol Cad No:75/A Fuat Edip Baksı Mah Bayraklı, Bayraklı",31.0
Cafe Cansu,38.467867,27.160206,7.5,2.0,Café,(0232) 341 43 44,"Zeki Yavaş Cad No: 78, Bayraklı",157.0
Bayraklı Cafe,38.466354,27.159864,,2.0,Café,,İzmir,96.0
Enişte Börek Evi,38.467448,27.160713,6.3,2.0,Breakfast,(0232) 371 22 23,"1644 Sok (Anadolu Caddesi), İzmir",175.0
Mandarin,38.467054,27.153591,7.7,,Restaurant,,"Turan Mah, İzmir",462.0
Seferoğulları Unlu Mamulleri,38.467357,27.165413,7.6,1.0,Bakery,,Bayraklı,589.0
Yıl Teras Cafe,38.471745,27.154912,8.2,2.0,Café,,"75, İzmir",663.0
Deniz Kenarı Murat Mangal Evi,38.463605,27.157648,,2.0,BBQ,,,355.0
Ekmek Teknesi,38.467155,27.148262,,3.0,Seafood,,"Turan, Bayraklı, İzmir",113.0
Sandal Marina,38.464966,27.146514,7.1,3.0,Seafood,(0232) 366 88 86,"Bayraklı, Turan, İzmir",356.0
Köfteci Esat,38.464928,27.149242,,,Kebab,,"Pink Club Karşısı (turan), İzmir",246.0
Liamme,38.465664,27.14574,,2.0,Breakfast,,,368.0
Rumeli Meyhanesi,38.467329,27.154063,,2.0,Turkish,,,390.0
Kafe Kahverengi,38.463338,27.148066,,2.0,Café,,,441.0
Mekanique,38.456052,27.120657,8.1,,Dining and Drinking,0532 057 84 72,"Cemal Gürsel Cad No:196, Karşıyaka",77.0
Tarihi Konak Balıkçısı,38.454727,27.119589,8.2,,Dining and Drinking,,,88.0
Çorbacı Cenko,38.455443,27.1191,8.4,1.0,Soup Spot,(0232) 324 10 02,"1723 Sok No: 5 / A Mah Kemalpaşa Camii Sok (Karşıyaka), İzmir",121.0
