restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Bergama Börek Evi,38.424216,27.139662,4.15,1.0,Dining and Drinking,(0232) 482 02 06,"Hürriyet Bul 1362 Sok No: 24, Konak, İzmir (Fevzi Paşa Caddesi), İzmir",456,foursquare
Sushico,38.428485,27.136569,4.15,2.0,Sushi,(0232) 484 00 70,"Şehit Nevres Bul, No: 2 / F Alsancak, 35220 Konak",462,foursquare
Tavuk Dünyası,38.47311,27.074049,4.1,2.0,Fried Chicken,(0232) 502 17 92,"Caher Dudayev Bul Mavi Bahçe Alışveriş Merkezi, 35590 Karşıyaka",214,foursquare
Midpoint,38.473585,27.074932,3.75,3.0,Dining and Drinking,(0232) 502 18 05,"Caher Dudayev Bul Mavi Bahçe Alışveriş Merkezi, Denizbostanlısı, 35590 Karşıyaka",167,foursquare
Padre Brasserie By Ferdi,38.477138,27.074727,4.15,2.0,Pizza,,"6522 Sok No:3, Karşıyaka",227,foursquare
Ferdi Baba,38.477071,27.074854,4.0,3.0,Seafood,0535 660 07 88,"6522 Sok No:3, Karşıyaka",218,foursquare
Kent Spor&Cafe,38.474021,27.076429,3.85,2.0,Café,,İzmir,195,foursquare
Baba Pizza Hilltown,38.476944,27.074974,3.85,2.0,Pizza,,"6522 Sok No:3 (Caher Dudayev bulvarı), 35560 İzmir",218,foursquare
Sushico,38.476903,27.074706,3.85,3.0,Sushi,444 7 874,"Yalı, 6522 Sok No:3, Karşıyaka",220,foursquare
Breeze Brasserie,38.477378,27.074661,4.25,,Restaurant,0538 041 25 34,"Caner Dudayev Bul, Mavibahçe Avm, Karşıyaka",278,foursquare
Fabrice,38.477138,27.074727,3.9,,Restaurant,0533 158 03 70,"6522 Sok No:3, Karşıyaka",238,foursquare
The Hunger,38.477545,27.074809,4.15,,Restaurant,(0232) 324 33 35,"6522 Sok No:3, Karşıyaka",272,foursquare
Kaffa Keyf,38.418746,27.125476,3.6,2.0,Café,(0232) 445 50 45,"Konak Vapur İskelesi Üstü, Konak",23,foursquare
Osmanlı,38.418724,27.125827,3.75,2.0,Café,,"Mustafa Kemal Sahil Bul, İzmir",77,foursquare
Rıhtım Cafe,38.418718,27.125915,3.2,2.0,Café,,"Konak Vapur İskelesi Yanı, Konak",84,foursquare
Alsancak Unlu Mamuller,38.41876,27.126046,3.0,1.0,Bakery,,"Konak Vapur İskelesi, Konak",82,foursquare
Çaykovski,38.417869,27.129058,4.2,1.0,Café,(0232) 483 01 34,"31. Sokak, Konak",369,foursquare
Konak Subay Orduevi Kahve'Nin Âlâsı,38.415298,27.124938,3.7,2.0,Café,,Konak,367,foursquare
Cevatın Yeri Sahne Cafe,38.414801,27.12348,3.9,2.0,Café,,İzmir,443,foursquare
Bayram Steak House,38.41689,27.124472,,4.0,Steakhouse,,,209,foursquare
Cimbomlu Meşhur Söğüşçü,38.419221,27.131919,4.35,1.0,Fast Food,(0232) 445 64 82,"855 Sok, No: 13 / A, 35250 Konak",571,foursquare
L’Aura Kitchen & Bar,38.423406,27.127362,4.1,3.0,Italian,0530 391 35 35,"Ataturk Cad No:19 Konak Pier Avm (Atatürk Caddesi No:19/S), 35210 İzmir",564,foursquare
Mr. Rakun,38.396463,27.071093,4.15,2.0,Café,,"İnönü Cad No:885/A, 35290 İzmir",49,foursquare
Gönül Çorba,38.396568,27.069426,3.9,1.0,Soup Spot,(0232) 277 55 74,"Mehmetçik BLV, 35290 İzmir",95,foursquare
Dürümcü İlker Usta,38.396037,27.068495,4.3,,Kebab,(0232) 277 35 82,"65/11 Sok No: 2, İzmir",211,foursquare
Dönerci Vedat,38.398181,27.068774,4.35,,Doner,,"İstinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",226,foursquare
Şeref Usta Balık & Meze Evi,38.395463,27.072899,4.2,3.0,Seafood,,,232,foursquare
Caffe Nero,38.39874,27.06867,4.1,2.0,Café,,"Istinye Park (Şehit  Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",279,foursquare
Fabrice,38.398834,27.068471,3.8,2.0,Café,,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), Balçova",298,foursquare
Ülver Teyze Rumeli Börekleri,38.395705,27.074686,4.3,,Restaurant,(0232) 520 02 92,"Inonu Cad No: 644, İzmir",379,foursquare
Eatery,38.39952,27.068038,4.25,,Restaurant,,"İstinye Park, Balçova",381,foursquare
Masa Restaurant,38.399388,27.067648,4.25,2.0,Café,(0232) 683 04 48,"İstinye Park (Şehit Binbaşı Ali Resmi Tufan Sok. No:3), 35330 Balçova",391,foursquare
Kofteci Sedat Usta,38.481656,27.089098,3.8,2.0,Turkish,,,477,foursquare
Cafe Siesta,38.48561,27.086281,3.9,2.0,Café,,İzmir,524,foursquare
Rún Lounge,38.476365,27.086934,4.2,2.0,Café,,"Ahmet Kemal Baysak BLV. No:44/A, Karşıyaka",639,foursquare
Naturalinn Şarküteri & Restoran,38.476413,27.085998,3.8,,Restaurant,0539 596 72 34,"Ahmet Kemal Baysak Bul No:9/B, 35590 Karşıyaka",595,foursquare
Nora Fırın Cafe & Patisserie,38.47592,27.086293,4.0,1.0,Bakery,,"6500 Sok . No:40, 35550",655,foursquare
Sade Kahvaltı & Çikolata,38.475895,27.085036,4.0,2.0,Café,(0232) 935 15 01,"Ahmet Kemal Baysak BLV. No:14/C (Mavişehir), İzmir",664,foursquare
Zekeriya Usta Kokoreç,38.480802,27.075549,4.55,2.0,Turkish,,"Carrefour Arkası (Mavişehir), İzmir",735,foursquare
Kazım Bey Et Restaurant,38.486924,27.088996,4.65,,Restaurant,,"Soyak Siesta Meydan Avm, İzmir",750,foursquare
Ora,38.486364,27.088338,3.85,2.0,Turkish,,"City Terrasse (İnönü Mah. 6718 Sok. No:68/1), Karşıyaka",648,foursquare
Tuzla Balık Restaurant,38.486862,27.088869,3.95,3.0,Seafood,(0232) 502 17 37,"6718 Sok No:66 - 108 Soyak Meydan Avm (Soyak Siesta), 35550 Karşıyaka",735,foursquare
Beyaz Fırın,38.386428,27.179544,4.25,2.0,Bakery,(0232) 420 82 90,"Kıbrıs Sok No:61B (Erdem Cad.), 35380 Buca",179,foursquare
Öteyaka,38.385641,27.178016,4.35,4.0,Steakhouse,0505 319 58 69,"Erdem Cad No: 68/A Buca, İzmir",191,foursquare
V-Mix Cafe & Bar,38.385445,27.178306,4.1,2.0,Café,,"Erdem Cad No:53, 35160 Buca",171,foursquare
Feriştah Meyhane,38.385445,27.178306,3.95,,Meyhane,0539 566 72 75,"Erdem Cad No:53 (Menderes), 35000 Buca",171,foursquare
Soulmate Coffee & Bakery,38.384147,27.182906,4.1,2.0,Café,,"24 Sok, Deü İibf Kapısı Karşısı (Erdem Caddesi), 35290 Buca",263,foursquare
Cactus Coffee,38.38304,27.182672,4.3,2.0,Café,,Buca,290,foursquare
Buckın Coffee Co.,38.382709,27.181964,4.1,2.0,Café,,"Erdem Cad No:18 Buca Adatepe (Erdem Caddesi), Buca",285,foursquare
Göl Cafe,38.383498,27.170009,3.15,2.0,Café,(0232) 487 47 93,"Özmen Cad (Kıbrıs Cd.), Buca",111,foursquare
Coffee Shop,38.383593,27.183252,4.15,2.0,Café,,"8/4 Sok No:4/A Adatepe-Buca (Erdem Caddesi), İzmir",328,foursquare
Walter's Sandwich Lab,38.386489,27.182959,4.2,1.0,Sandwich Spot,(0232) 442 42 28,"3 Sok No:16/B (Adatepe Mah.), Buca",336,foursquare
Rüzgar Kokoreç,38.3815,27.178162,4.25,,Kokoreç Restaurant,(0232) 440 58 26,"63 Sok, Buca",74,foursquare
Kahve Esintisi,38.381361,27.176649,4.0,2.0,Café,0532 586 43 96,"Buca , Üçkuyular Meydanı, İzmir",98,foursquare
Chef Food,38.380876,27.175543,3.85,2.0,Fast Food,0553 137 48 48,"Ucyol Meydan (Ismail Sivri Bulvarı), İzmir",215,foursquare
Gazoz Ağacı,38.383815,27.1752,4.35,2.0,Café,,Buca,306,foursquare
V-Mix Cafe & Bar,38.385445,27.178306,4.1,2.0,Café,,"Erdem Cad No:53, 35160 Buca",388,foursquare
Buckın Coffee Co.,38.382709,27.181964,4.1,2.0,Café,,"Erdem Cad No:18 Buca Adatepe (Erdem Caddesi), Buca",390,foursquare
Buca Tostçusu,38.384547,27.1739,4.55,1.0,Fast Food,,"83 Sok No:41/B, Buca",429,foursquare
Öteyaka,38.385641,27.178016,4.35,4.0,Steakhouse,0505 319 58 69,"Erdem Cad No: 68/A Buca, İzmir",421,foursquare
Doy Doy Kokoreç,38.38286,27.173523,3.8,,Kokoreç Restaurant,,Buca,349,foursquare
Feriştah Meyhane,38.385445,27.178306,3.95,,Meyhane,0539 566 72 75,"Erdem Cad No:53 (Menderes), 35000 Buca",396,foursquare
Favino Alsancak,38.432765,27.140715,4.5,,Theme Restaurant,(0232) 421 93 90,"Dr. Mustafa Enver Bey Cad No:11/A, 35220 İzmir",67,foursquare
Yuzde Yuz Restaurant & Cafe Alsancak,38.432435,27.140332,4.2,3.0,Restaurant,(0232) 422 55 35,"Dr. Mustafa Bey Cad Alsancak, Konak, Konak",87,foursquare
Pier’S,38.43253,27.139767,4.35,,Restaurant,,"Dr. Mustafa Enver Bey Cad, İzmir",133,foursquare
Zeytinyağlı Restorant,38.434144,27.142211,4.3,2.0,Turkish Home Cooking,(0232) 655 65 55,"Talatpaşa Bul, İzmir",131,foursquare
Pizza Locale,38.432524,27.142635,4.55,2.0,Pizza,(0232) 463 45 60,"1390 Sok No:5/B Alsancak, 35220 Konak",156,foursquare
Paprica Pizza & Ristorante,38.431971,27.142055,4.4,3.0,Italian,0549 422 22 70,"Dr. Mustafa Enver Bey Cad No: 30/2, 35220 İzmir",150,foursquare
Murano’S,38.432156,27.139158,4.25,3.0,Italian,,İzmir,205,foursquare
P'an-ku Pancakes,38.430786,27.142122,4.5,2.0,Café,0543 506 94 41,"1382 Sok No:37 (Şair Eşref Bulvarı), 35220 İzmir",263,foursquare
Eski Usul Meyhane Alsancak,38.435307,27.141568,4.35,2.0,Meyhane,(0232) 421 44 09,"Irfan Boyuer Sok, Donerciler Sokagi, No:2/A Alsancak, Konak (1444), 35220 İzmir",255,foursquare
Bade,38.435329,27.141217,4.2,2.0,Seafood,(0232) 421 28 22,"Cumhuriyet Bul No:198/A ((Gündoğdu-Kalyon Pub karşısı)), 35220 İzmir",256,foursquare
